=== Monitor Started: Fri Dec 19 09:14:45 PM EST 2025 ===
Logging to: /home/chapman/projects/mycloud-restsdk-recovery-script/monitor.log (interval: 30s)
[2025-12-19 21:14:45] #1 | Script: RUNNING | NFS: OK | Mem: 14.6% (1678MB/11454MB) | Load: 0.96 0.55 0.32 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:15:16] #2 | Script: RUNNING | NFS: OK | Mem: 14.7% (1686MB/11454MB) | Load: 1.04 0.61 0.35 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:15:47] #3 | Script: RUNNING | NFS: OK | Mem: 14.8% (1692MB/11454MB) | Load: 1.22 0.70 0.39 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:16:19] #4 | Script: RUNNING | NFS: OK | Mem: 15.0% (1716MB/11454MB) | Load: 1.20 0.74 0.42 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:16:50] #5 | Script: RUNNING | NFS: OK | Mem: 15.1% (1734MB/11454MB) | Load: 1.21 0.80 0.45 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:17:21] #6 | Script: RUNNING | NFS: OK | Mem: 15.5% (1778MB/11454MB) | Load: 1.20 0.84 0.47 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:17:52] #7 | Script: RUNNING | NFS: OK | Mem: 15.8% (1805MB/11454MB) | Load: 1.12 0.86 0.49 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:18:23] #8 | Script: RUNNING | NFS: OK | Mem: 15.8% (1814MB/11454MB) | Load: 1.20 0.90 0.52 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:18:54] #9 | Script: RUNNING | NFS: OK | Mem: 16.1% (1849MB/11454MB) | Load: 1.18 0.93 0.54 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:19:26] #10 | Script: RUNNING | NFS: OK | Mem: 16.4% (1873MB/11454MB) | Load: 1.15 0.96 0.57 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:19:57] #11 | Script: RUNNING | NFS: OK | Mem: 16.6% (1899MB/11454MB) | Load: 1.22 0.99 0.59 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:20:28] #12 | Script: RUNNING | NFS: OK | Mem: 16.8% (1919MB/11454MB) | Load: 1.21 1.01 0.61 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:20:59] #13 | Script: RUNNING | NFS: OK | Mem: 17.0% (1952MB/11454MB) | Load: 1.13 1.01 0.63 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:21:30] #14 | Script: RUNNING | NFS: OK | Mem: 29.2% (3347MB/11454MB) | Load: 1.21 1.04 0.65 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:22:01] #15 | Script: RUNNING | NFS: OK | Mem: 41.5% (4755MB/11454MB) | Load: 1.12 1.03 0.66 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:22:33] #16 | Script: RUNNING | NFS: OK | Mem: 41.5% (4758MB/11454MB) | Load: 1.15 1.05 0.68 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:23:04] #17 | Script: RUNNING | NFS: OK | Mem: 41.5% (4755MB/11454MB) | Load: 1.16 1.06 0.70 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:23:35] #18 | Script: RUNNING | NFS: OK | Mem: 41.5% (4753MB/11454MB) | Load: 1.09 1.05 0.71 | FDs: 5 | IOWait: % | Copied: N/A
[2025-12-19 21:24:06] #19 | Script: RUNNING | NFS: OK | Mem: 41.5% (4758MB/11454MB) | Load: 1.18 1.08 0.73 | FDs: 5 | IOWait: % | Copied: N/A
